Manufacturer Part Number,Quantity,Customer Reference
C0603C103G8GACTU,10,"C13,C23"
C0603C225K8PACTU,5,C28
C0603C479C4HACTU,5,C34
GRM21BR60J226ME39L,25,"C40,C55,C58,C60,C62"
GRM188R61C106KE15D,10,"C48,C53"
C0603C181J5GACTU,5,C54
CMKD6000 TR PBFREE,4,D3
S2B-PH-SM4-TB(LF)(SN),4,J1
61300111121,7,"J2,J3"
693072010801,4,J4
SJ1-3523N,7,"J6,J11"
61300411121,13,"J7,J8,J10,J12"
61300311121,4,J9
61300211121,4,J13
1269AS-H-4R7M=P2,5,L1
LQM21PN2R2NGCD,5,L2
IM73A135V01XTSA1,4,MK1
CRCW06031K10FKEA,5,R8
CRCW06032K20FKEA,5,R9
CRCW060322K1FKEA,5,R10
CRCW060332K4FKEA,5,R12
CRCW06031M20FKEA,5,R20
CRCW060310R0FKEA,10,"R47,R48"
JS102011SAQN,4,SW1
EVQ-P2P02M,7,"SW2,SW3"
TPS7A2033PDBVR,4,U1
BQ24074RGTR,4,U2
TPS7A9401DSCR,4,U3
TPS7A3901DSCR,4,U4
TPS65132WRVCR,4,U5
TPS63000DRCR,4,U6
ESP32-S3-WROOM-1-N16R8,4,U7
OPA376AIDBVR,4,U9
LTC6373IDFM#PBF,4,U10
TAC5212IRGER,4,U11
